Club,New
CD Huachipato,CD Huachipato
CD Leganes,Leganes
CD Lugo,Lugo
CD Mirandes,Mirandes
CD Numancia,Numancia
CD O'Higgins,CD O'Higgins
CD Palestino,CD Palestino
CD Tenerife,Tenerife
Celta Vigo,Celta
Celtic,Celtic
Central Coast,Central Coast
Cesena,Cesena
CF Reus Deportiu,Reus Deportiu
Cham. Niortais,Niort
Chapecoense,Chapecoense
Charlton Ath,Charlton
Chaves,Chaves
Chelsea,Chelsea
Cheltenham Town,Cheltenham
Chesterfield,Chesterfield
Chiapas,Chiapas
Chicago Fire,Chicago Fire
Chievo Verona,Chievo
Cittadella,Cittadella
Clermont Foot,Clermont
Club Brugge,Club Brugge
Colchester,Colchester
Colo-Colo,Colo-Colo
Colorado Rapids,Colorado Rapids
Columbus Crew SC,Columbus Crew SC
Cordoba CF,Cordoba
Coritiba,Coritiba
Cork City,Cork City
Cortulua,Cortulua
Coventry City,Coventry
Cracovia,Cracovia
Crawley Town,Crawley Town
Crewe Alexandra,Crewe
Criciuma,Criciuma
Crotone,Crotone
Cruz Azul,Cruz Azul
Cruzeiro,Cruzeiro
Crystal Palace,Crystal Palace
CSKA Moscow,CSKA Moscow
D.C. United,D.C. United
Depor. Iquique,Depor. Iquique
Deport. Alaves,Alaves
Deportes Temuco,Deportes Temuco
Deportes Tolima,Deportes Tolima
Deportivo Cali,Deportivo Cali
Deportivo Pasto,Deportivo Pasto
Derby County,Derby
Derry City,Derry City
Dijon FCO,Dijon
Djurgardens IF,Djurgardens IF
Doncaster,Doncaster
Dundalk,Dundalk
Dundee FC,Dundee
Dynamo Dresden,Dresden
EA Guingamp,Guingamp
Eint. Frankfurt,Ein Frankfurt
Elche CF,Elche
Empoli,Empoli
Envigado,Envigado
Erzgebirge Aue,Erzgebirge Aue
ES Troyes AC,Troyes
Esbjerg fB,Esbjerg fB
Estoril Praia,Estoril
Estudiantes,Estudiantes
Everton,Everton
Excelsior,Excelsior
Exeter City,Exeter
F. Dusseldorf,Fortuna Dusseldorf
F. Santa Maria,Feirense
Falkenbergs FF,Falkenbergs FF
FC Augsburg,Augsburg
FC Barcelona,Barcelona
FC Basel,FC Basel
FC Bayern,Bayern Munich
FC Dallas,FC Dallas
FC Groningen,Groningen
FC Ingolstadt,Ingolstadt
FC Kobenhavn,FC Kobenhavn
FC Krasnodar,FC Krasnodar
FC Lausanne,FC Lausanne
FC Lorient,Lorient
FC Lugano,FC Lugano
FC Luzern,FC Luzern
FC Metz,Metz
FC Midtjylland,FC Midtjylland
FC Nantes,Nantes
FC Nordsjalland,FC Nordsjalland
FC Orenburg,FC Orenburg
FC Porto,Porto
FC Rostov,FC Rostov
FC Schalke 04,Schalke 04
FC Seoul,FC Seoul
FC Sion,FC Sion
FC Sochaux,Sochaux
FC St. Gallen,FC St. Gallen
FC St. Pauli,St Pauli
FC Thun,FC Thun
FC Tokyo,FC Tokyo
FC Tom Tomsk,FC Tom Tomsk
FC Twente,Twente
FC Ufa,FC Ufa
FC Ural,FC Ural
FC Utrecht,Utrecht
FC Vaduz,FC Vaduz
Fenerbahae,Fenerbahce
Feyenoord,Feyenoord
Figueirense,Figueirense
Finn Harps,Finn Harps
Fiorentina,Fiorentina
FK Bodo/Glimt,FK Bodo/Glimt
FK Haugesund,FK Haugesund
Fl. Varela,Fl. Varela
Fleetwood Town,Fleetwood Town
Fluminense,Fluminense
Fortaleza FC,Fortaleza FC
Free agent,Free agent
Free Agents,Free Agents
Frosinone,Frosinone
Fulham,Fulham
G. La Plata,G. La Plata
Galatasaray,Galatasaray
Galway United,Galway United
Gamba Osaka,Gamba Osaka
Gaziantepspor,Gaziantepspor
Gefle IF,Gefle IF
Genalerbirliei,Genclerbirligi
Genoa,Genoa
Getafe CF,Getafe
GFC Ajaccio,Ajaccio GFCO
GIF Sundsvall,GIF Sundsvall
Gillingham,Gillingham
Gimnsstic,Gimnastic
Giron. Bordeaux,Bordeaux
Girona CF,Girona
Go Ahead Eagles,Go Ahead Eagles
Godoy Cruz,Godoy Cruz
Goias,Goias
Gornik Leczna,Gornik Leczna
Granada CF,Granada
Grasshopper,Grasshopper
Gremio,Gremio
Greuther Furth,Greuther Furth
Grimsby Town,Grimsby
Guadalajara,Guadalajara
GwangJu FC,GwangJu FC
Hamburger SV,Hamburg
Hamilton,Hamilton
Hammarby IF,Hammarby IF
Hannover 96,Hannover
Hartlepool,Hartlepool
Hearts,Hearts
Hellas Verona,Verona
Helsingborgs IF,Helsingborgs IF
Heracles Almelo,Heracles
Hertha BSC,Hertha
HJK Helsinki,HJK Helsinki
Houston Dynamo,Houston Dynamo
Huddersfield,Huddersfield
Hull City,Hull
IF Elfsborg,IF Elfsborg
IFK Goteborg,IFK Goteborg
IFK Norrkoping,IFK Norrkoping
IK Start,IK Start
Incheon United,Incheon United
Ind. Santa Fe,Ind. Santa Fe
Indep. Medellin,Indep. Medellin
Independiente,Independiente
Inter,Inter
Internacional,Internacional
Inverness CT,Inverness C
Ipswich,Ipswich
Iwata,Iwata
Jagiellonia,Jagiellonia
Jaguares,Jaguares
Jeju United,Jeju United
Jeonbuk Hyundai,Jeonbuk Hyundai
Jeonnam Dragons,Jeonnam Dragons
Joinville,Joinville
Jonkopings Sodra IF,Jonkopings Sodra IF
Junin,Junin
Junior,Junior
Juventus,Juventus
KAA Gent,Gent
Kaiserslautern,Kaiserslautern
Kaizer Chiefs,Kaizer Chiefs
Kalmar FF,Kalmar FF
Karabukspor,Karabukspor
Karlsruher SC,Karlsruhe
KAS Eupen,Eupen
Kashima Antlers,Kashima Antlers
Kashiwa Reysol,Kashiwa Reysol
Kasimpasa,Kasimpasa
Kawasaki Front.,Kawasaki Front.
Kayserispor,Kayserispor
Kilmarnock,Kilmarnock
Konyaspor,Konyaspor
Korona Kielce,Korona Kielce
KRC Genk,Genk
Krylya Sovetov,Krylya Sovetov
KV Kortrijk,Kortrijk
KV Mechelen,Mechelen
KV Oostende,Oostende
KVC Westerlo,Westerlo
La Equidad,La Equidad
LA Galaxy,LA Galaxy
La Spezia,Spezia
Lanus,Lanus
Latina,Latina
Lazio,Lazio
Le Havre AC,Le Havre
Lech Poznan,Lech Poznan
Lechia Gdansk,Lechia Gdansk
Leeds United,Leeds
Legia Warszawa,Legia Warszawa
Leicester City,Leicester
Leon,Leon
Levante UD,Levante
Leyton Orient,Leyton Orient
Lillestrom SK,Lillestrom SK
Liverpool,Liverpool
Lokomotiv Moscow,Lokomotiv Moscow
Longford Town,Longford Town
LOSC Lille,Lille
Luton Town,Luton
Lyngby BK,Lyngby BK
Malaga CF,Malaga
Malmo FF,Malmo FF
Manchester City,Man City
Manchester Utd,Man United
Mansfield Town,Mansfield
Mar del Plata,Mar del Plata
Maritimo,Maritimo
Medipol Basaksehir,Buyuksehyr
Melb. Victory,Melb. Victory
Melbourne City,Melbourne City
Middlesbrough,Middlesbrough
Milan,Milan
Millonarios,Millonarios
Millwall,Millwall
MK Dons,Milton Keynes Dons
Molde FK,Molde FK
Monarcas Morelia,Monarcas Morelia
Monterrey,Monterrey
Montpellier HSC,Montpellier
Montreal Impact,Montreal Impact
Morecambe,Morecambe
Moreirense,Moreirense
Motherwell,Motherwell
N.E.C.,Nijmegen
Nacional,Nacional
Nagoya,Nagoya
Napoli,Napoli
Necaxa,Necaxa
New England,New England
Newcastle Jets,Newcastle Jets
Newcastle Utd,Newcastle
Newell's,Newell's
Newport County,Newport County
Nimes Olympique,Nimes
Northampton,Northampton
Norwich,Norwich
Nott'm Forest,Nott'm Forest
Notts County,Notts County
Novara,Novara
NY Red Bulls,NY Red Bulls
NYCFC,NYCFC
Odds BK,Odds BK
Odense BK,Odense BK
OGC Nice,Nice
Oldham Athletic,Oldham
Olym. Lyonnais,Lyon
Olym. Marseille,Marseille
Olympiakos CFP,Olympiakos CFP
Omiya Ardija,Omiya Ardija
Once Caldas,Once Caldas
Orebro SK,Orebro SK
Orlando City,Orlando City
Orlando Pirates,Orlando Pirates
Osmanlispor,Osmanlispor
Ostersunds FK,Ostersunds FK
Oxford United,Oxford
Paaos Ferreira,Pacos Ferreira
Pachuca,Pachuca
Palermo,Palermo
Palmeiras,Palmeiras
Panathinaikos,Panathinaikos
PAOK,PAOK
Parque Patricios,Parque Patricios
Partick Thistle,Partick
Patriotas,Patriotas
Patronato,Patronato
PEC Zwolle,Zwolle
Perth Glory,Perth Glory
Perugia,Perugia
Pescara,Pescara
Peterborough,Peterboro
Philadelphia,Philadelphia
Piast Gliwice,Piast Gliwice
Pisa,Pisa
Plymouth Argyle,Plymouth
Pogon Szczecin,Pogon Szczecin
Pohang Steelers,Pohang Steelers
Ponte Preta,Ponte Preta
Port Vale,Port Vale
Portland,Portland
Portsmouth,Portsmouth
Preston,Preston
PSG,Paris SG
PSV,PSV Eindhoven
Puebla,Puebla
QPR,QPR
Queretaro,Queretaro
Quilmes,Quilmes
Racing Club,Racing Club
Rafaela,Rafaela
Randers FC,Randers FC
Rangers,Rangers
Rayo Vallecano,Vallecano
RB Leipzig,RB Leipzig
RB Salzburg,RB Salzburg
RC Deportivo,La Coruna
RC Lens,Lens
RC Strasbourg,Strasbourg
RCD Espanyol,Espanol
RCD Mallorca,Mallorca
Reading,Reading
Real Betis,Betis
Real Madrid,Real Madrid
Real Oviedo,Oviedo
Real Salt Lake,Real Salt Lake
Real Sociedad,Sociedad
Real Valladolid,Valladolid
Real Zaragoza,Zaragoza
Red Star FC,Red Star
Rio Ave,Rio Ave
River Plate,River Plate
Rochdale,Rochdale
Roda JC,Roda
Roma,Roma
Rosario Central,Rosario Central
Rosenborg BK,Rosenborg BK
Ross County,Ross County
Rotherham Utd,Rotherham
Royal Mouscron,Mouscron
RSC Anderlecht,Anderlecht
Rubin Kazan,Rubin Kazan
Ruch Chorzow,Ruch Chorzow
Sagan Tosu,Sagan Tosu
Salerno,Salernitana
Sampdoria,Sampdoria
San Juan,San Juan
San Lorenzo,San Lorenzo
San Luis,San Luis
Sanfrecce Hiroshima,Sanfrecce Hiroshima
Sangju Sangmu,Sangju Sangmu
Santa Cruz,Santa Cruz
Santa Fe,Santa Fe
Santos,Santos
Santos Laguna,Santos Laguna
Sao Paulo,Sao Paulo
Sarandi,Sarandi
Sarpsborg 08 FF,Sarpsborg 08 FF
Sassuolo,Sassuolo
SC Bastia,Bastia
SC Braga,Sp Braga
SC Freiburg,Freiburg
SC Heerenveen,Heerenveen
SCR Altach,SCR Altach
Scunthorpe Utd,Scunthorpe
SD Eibar,Eibar
SD Huesca,Huesca
Seongnam FC,Seongnam FC
Sevilla Atlet.,Sevilla B
Sevilla FC,Sevilla
Shakhtar Donetsk,Shakhtar Donetsk
Shamrock Rovers,Shamrock Rovers
Sheffield Utd,Sheffield United
Sheffield Wed,Sheffield Weds
Shonan Bellmare,Shonan Bellmare
Shrewsbury,Shrewsbury
Silkeborg IF,Silkeborg IF
Sint-Truiden,St Truiden
SJ Earthquakes,SJ Earthquakes
SK Brann,SK Brann
SK Rapid Wien,SK Rapid Wien
SK Sturm Graz,SK Sturm Graz
SKN St. Polten,SKN St. Polten
SL Benfica,Benfica
Slask Wrociaw,Slask Wrociaw
Sligo Rovers,Sligo Rovers
SM Caen,Caen
Sogndal,Sogndal
SonderjyskE,SonderjyskE
Sounders FC,Sounders FC
Southampton,Southampton
Southend United,Southend
Sp. Charleroi,Charleroi
Spal,Spal
Sparta R'dam,Sparta Rotterdam
Spartak Moscow,Spartak Moscow
Sport,Sport
Sport. Lokeren,Lokeren
Sporting CP,Sp Lisbon
Sporting Gijon,Sp Gijon
Sporting KC,Sporting KC
Spurs,Tottenham
St. Johnstone,St Johnstone
St. Pats,St. Pats
Stabak Fotball,Stabak Fotball
Stade Brestois,Brest
Stade de Reims,Reims
Stade Lavallois,Laval
Stade Rennais,Rennes
Standard Licge,Standard
Stevenage,Stevenage
Stoke City,Stoke
Stromsgodset IF,Stromsgodset IF
Sunderland,Sunderland
Suwon Bluewings,Suwon Bluewings
Suwon FC,Suwon FC
SV Darmstadt,Darmstadt
SV Mattersburg,SV Mattersburg
SV Ried,SV Ried
SV Sandhausen,Sandhausen
Swansea City,Swansea
Swindon Town,Swindon
Sydney FC,Sydney FC
Temperley,Temperley
Terek Grozny,Terek Grozny
Termalica,Termalica
Terni,Ternana
Tigre,Tigre
Tigres,Tigres
Tijuana,Tijuana
Toluca,Toluca
Tondela,Tondela
Torino,Torino
Toronto FC,Toronto FC
Toulouse FC,Toulouse
Tours FC,Tours
Trabzonspor,Trabzonspor
Trapani,Trapani
Tromso IL,Tromso IL
U.N.A.M.,U.N.A.M.
UCAM Murcia,UCAM Murcia
UD Almeria,Almeria
UD Las Palmas,Las Palmas
Udinese,Udinese
Ulsan Hyundai,Ulsan Hyundai
Uni. Catolica,Uni. Catolica
Uni. Concepcion,Uni. Concepcion
Uni. de Chile,Uni. de Chile
Union,Union
Union Berlin,Union Berlin
Union Espaoola,Union Espaoola
Urawa Diamonds,Urawa Diamonds
US Orleans,Orleans
V. Guimaraes,Guimaraes
V. Setubal,Setubal
Valencia CF,Valencia
Valenciennes FC,Valenciennes
Valerenga Fotball,Valerenga Fotball
Vasco da Gama,Vasco da Gama
Vegalta Sendai,Vegalta Sendai
Velez Sarsfield,Velez Sarsfield
Ventforet Kofu,Ventforet Kofu
Veracruz,Veracruz
Vercelli,Pro Vercelli
VfB Stuttgart,Stuttgart
VfL Bochum,Bochum
VfL Wolfsburg,Wolfsburg
Viborg FF,Viborg FF
Vicenza,Vicenza
Viking FK,Viking FK
Villarreal CF,Villarreal
Vissel Kobe,Vissel Kobe
Vitesse,Vitesse
Vitoria,Vitoria
Waasl. Beveren,Waasland-Beveren
Walsall,Walsall
Wanderers,Wanderers
Watford,Watford
Well. Phoenix,Well. Phoenix
Werder Bremen,Werder Bremen
West Brom,West Brom
West Ham,West Ham
Wexford Youths,Wexford Youths
Whitecaps FC,Whitecaps FC
Wigan Athletic,Wigan
Willem II,Willem II
Wisia Krakow,Wisia Krakow
Wisia Piock,Wisia Piock
Wolfsberger AC,Wolfsberger AC
Wolves,Wolves
WS Wanderers,WS Wanderers
Wurzburger Kickers,Wurzburger Kickers
Wycombe,Wycombe
Yeovil Town,Yeovil
Yokohama F. Marinos,Yokohama F. Marinos
Zagiebie Lubin,Zagiebie Lubin
Zenit,Zenit
Zulte-Waregem,Waregem
