Club,New
Brighton & Hove Albion,Brighton
Brisbane Roar,Brisbane Roar
Bristol City,Bristol City
Bristol Rovers,Bristol Rvs
Brondby IF,Brondby IF
BSC Young Boys,BSC Young Boys
Burnley,Burnley
Bursaspor,Bursaspor
Burton Albion,Burton
Bury,Bury
C.D. Leonesa S.A.D.,Leonesa
CA Osasuna,Osasuna
Cadiz C.F.,Cadiz
Cagliari,Cagliari
Cambridge United,Cambridge
Cardiff City,Cardiff
Carlisle United,Carlisle
Carpi,Carpi
CD America de Cali,CD America de Cali
CD Antofagasta,CD Antofagasta
CD Aves,Aves
CD Feirense,Feirense
CD Huachipato,CD Huachipato
CD Leganes,Leganes
CD Los Millionarios Bogota,CD Los Millionarios Bogota
CD Lugo,Lugo
CD Numancia,Numancia
CD O'Higgins,CD O'Higgins
CD Once Caldas Manizales,CD Once Caldas Manizales
CD Palestino,CD Palestino
CD Tenerife,Tenerife
CD Universidad de Concepcion,CD Universidad de Concepcion
Celtic,Celtic
Central Coast Mariners,Central Coast Mariners
Cerezo Osaka,Cerezo Osaka
Cesena,Cesena
CF Os Belenenses,Belenenses
CF Reus Deportiu,Reus Deportiu
Chacarita Juniors,Chacarita Juniors
Chamois Niortais FC,Niort
Charlton Athletic,Charlton
Chelsea,Chelsea
Cheltenham Town,Cheltenham
Chemnitzer FC,Chemnitzer FC
Chesterfield,Chesterfield
Chicago Fire Soccer Club,Chicago Fire Soccer Club
Chievo Verona,Chievo
Cittadella,Cittadella
Clermont Foot 63,Clermont
Club America,Club America
Club Atlas,Club Atlas
Club Atletico Huracan,Club Atletico Huracan
Club Atletico Lanus,Club Atletico Lanus
Club Atletico Patronato,Club Atletico Patronato
Club Atletico Tigre,Club Atletico Tigre
Club Brugge KV,Club Brugge
Club de Deportes Temuco,Club de Deportes Temuco
Club Leon,Club Leon
Club Tijuana,Club Tijuana
Clube Atletico Mineiro,Clube Atletico Mineiro
Clube Atletico Paranaense,Clube Atletico Paranaense
Colchester United,Colchester
Colo-Colo,Colo-Colo
Colon de Santa Fe,Colon de Santa Fe
Colorado Rapids,Colorado Rapids
Columbus Crew SC,Columbus Crew SC
Cordoba CF,Cordoba
Coritiba Foot Ball Club,Coritiba Foot Ball Club
Cork City,Cork City
Corporacion Club Deportivo Tulua,Corporacion Club Deportivo Tulua
Coventry City,Coventry
CPD Junior Barranquilla,CPD Junior Barranquilla
Cracovia,Cracovia
Crawley Town,Crawley Town
Cremonese,Cremonese
Crewe Alexandra,Crewe
Crotone,Crotone
Cruz Azul,Cruz Azul
Cruzeiro,Cruzeiro
Crystal Palace,Crystal Palace
CS Maritimo,Maritimo
CSKA Moscow,CSKA Moscow
Curico Unido,Curico Unido
D.C. United,D.C. United
Daegu FC,Daegu FC
Defensa y Justicia,Defensa y Justicia
Deportes Iquique,Deportes Iquique
Deportes Tolima,Deportes Tolima
Deportivo Alaves,Alaves
Deportivo Pasto,Deportivo Pasto
Deportivo Toluca,Deportivo Toluca
Derby County,Derby
Derry City,Derry City
Dijon FCO,Dijon
Dinamo Moscow,Dinamo Moscow
Djurgardens IF,Djurgardens IF
Doncaster Rovers,Doncaster
Drogheda United,Drogheda United
DSC Arminia Bielefeld,Bielefeld
Dundalk,Dundalk
Dundee FC,Dundee
Eintracht Braunschweig,Braunschweig
Eintracht Frankfurt,Ein Frankfurt
Empoli,Empoli
En Avant de Guingamp,Guingamp
Envigado FC,Envigado FC
ES Troyes AC,Troyes
Estoril Praia,Estoril
Estudiantes de La Plata,Estudiantes de La Plata
Ettifaq FC,Ettifaq FC
Everton,Everton
Everton de Vioa del Mar,Everton de Vioa del Mar
Evkur Yeni Malatyaspor,Yeni Malatyaspor
Excelsior,Excelsior
Exeter City,Exeter
F.B.C. Unione Venezia,Venezia
F.C. Tokyo,F.C. Tokyo
FC Admira Wacker Modling,FC Admira Wacker Modling
FC Anzhi Makhachkala,FC Anzhi Makhachkala
FC Augsburg,Augsburg
FC Barcelona,Barcelona
FC Barcelona B,Barcelona B
FC Basel,FC Basel
FC Bayern Munich,Bayern Munich
FC Carl Zeiss Jena,FC Carl Zeiss Jena
FC Dallas,FC Dallas
FC Erzgebirge Aue,Erzgebirge Aue
FC Groningen,Groningen
FC Helsingor,FC Helsingor
FC Ingolstadt 04,Ingolstadt
FC Kobenhavn,FC Kobenhavn
FC Krasnodar,FC Krasnodar
FC Lausanne-Sports,FC Lausanne-Sports
FC Lorient,Lorient
FC Lugano,FC Lugano
FC Luzern,FC Luzern
FC Metz,Metz
FC Midtjylland,FC Midtjylland
FC Nantes,Nantes
FC Nordsjalland,FC Nordsjalland
FC Paaos de Ferreira,Pacos Ferreira
FC Porto,Porto
FC Red Bull Salzburg,FC Red Bull Salzburg
FC Rostov,FC Rostov
FC Schalke 04,Schalke 04
FC Seoul,FC Seoul
FC Sion,FC Sion
FC SKA-Energiya Khabarovsk,FC SKA-Energiya Khabarovsk
FC Sochaux-Montbeliard,Sochaux
FC St. Gallen,FC St. Gallen
FC St. Pauli,St Pauli
FC Thun,FC Thun
FC Tosno,FC Tosno
FC Twente,Twente
FC Ufa,FC Ufa
FC Ural,FC Ural
FC Utrecht,Utrecht
FC Zurich,FC Zurich
Fenerbahae SK,Fenerbahce
Ferrara (SPAL),Spal
Feyenoord,Feyenoord
Finn Harps,Finn Harps
Fiorentina,Fiorentina
FK Austria Wien,FK Austria Wien
FK Haugesund,FK Haugesund
Fleetwood Town,Fleetwood Town
Fluminense Football Club,Fluminense Football Club
Foggia,Foggia
Forest Green,Forest Green
Fortuna Dusseldorf,Fortuna Dusseldorf
Frosinone,Frosinone
FSV Zwickau,FSV Zwickau
Fulham,Fulham
Galatasaray SK,Galatasaray
Galway United,Galway United
Gamba Osaka,Gamba Osaka
Gangwon FC,Gangwon FC
Genalerbirliei SK,Genclerbirligi
Genoa,Genoa
Getafe CF,Getafe
GFC Ajaccio,Ajaccio GFCO
GIF Sundsvall,GIF Sundsvall
Gillingham,Gillingham
Gimnasia y Esgrima La Plata,Gimnasia y Esgrima La Plata
Gimnsstic de Tarragona,Gimnastic
Girona CF,Girona
Girondins de Bordeaux,Bordeaux
Godoy Cruz,Godoy Cruz
Gornik Zabrze,Gornik Zabrze
Goztepe,Goztep
Granada CF,Granada
Grasshopper Club Zurich,Grasshopper Club Zurich
Gremio Foot-Ball Porto Alegrense,Gremio Foot-Ball Porto Alegrense
Grimsby Town,Grimsby
Grupo Desportivo de Chaves,Chaves
Guadalajara,Guadalajara
GwangJu FC,GwangJu FC
Hallescher FC,Hallescher FC
Halmstads BK,Halmstads BK
Hamburger SV,Hamburg
Hamilton Academical FC,Hamilton
Hammarby IF,Hammarby IF
Hannover 96,Hannover
Hansa Rostock,Hansa Rostock
Heart of Midlothian,Hearts
Hellas Verona,Verona
Heracles Almelo,Heracles
Hertha BSC Berlin,Hertha
Hibernian,Hibernian
HJK Helsinki,HJK Helsinki
Hobro IK,Hobro IK
Hokkaido Consadole Sapporo,Hokkaido Consadole Sapporo
Holstein Kiel,Holstein Kiel
Houston Dynamo,Houston Dynamo
Huddersfield Town,Huddersfield
Hull City,Hull
IF Elfsborg,IF Elfsborg
IFK Goteborg,IFK Goteborg
IFK Norrkoping,IFK Norrkoping
IK Sirius,IK Sirius
Incheon United FC,Incheon United FC
Independiente,Independiente
Independiente Medellin,Independiente Medellin
Independiente Santa Fe,Independiente Santa Fe
Inter,Inter
Ipswich Town,Ipswich
Istanbul Basaksehir FK,Buyuksehyr
Jagiellonia Biaiystok,Jagiellonia Biaiystok
Jaguares Futbol Club,Jaguares Futbol Club
Jeju United FC,Jeju United FC
Jeonbuk Hyundai Motors,Jeonbuk Hyundai Motors
Jeonnam Dragons,Jeonnam Dragons
Jonkopings Sodra IF,Jonkopings Sodra IF
Jubilo Iwata,Jubilo Iwata
Juventus,Juventus
KAA Gent,Gent
Kaizer Chiefs,Kaizer Chiefs
Kalmar FF,Kalmar FF
Kardemir Karabukspor,Karabukspor
Karlsruher SC,Karlsruher SC
KAS Eupen,Eupen
Kashima Antlers,Kashima Antlers
Kashiwa Reysol,Kashiwa Reysol
Kasimpasa SK,Kasimpasa
Kawasaki Frontale,Kawasaki Frontale
Kayserispor,Kayserispor
Kilmarnock,Kilmarnock
Korona Kielce,Korona Kielce
KRC Genk,Genk
Kristiansund BK,Kristiansund BK
KV Kortrijk,Kortrijk
KV Mechelen,Mechelen
KV Oostende,Oostende
La Berrichonne de Chateauroux,Chateauroux
La Equidad,La Equidad
LA Galaxy,LA Galaxy
La Spezia,Spezia
LASK Linz,LASK Linz
Lazio,Lazio
Le Havre AC,Le Havre
Lech Poznan,Lech Poznan
Lechia Gdansk,Lechia Gdansk
Leeds United,Leeds
Legia Warszawa,Legia Warszawa
Leicester City,Leicester
Levante UD,Levante
Lillestrom SK,Lillestrom SK
Limerick FC,Limerick FC
Lincoln City,Lincoln
Liverpool,Liverpool
Lobos de la BUAP,Lobos de la BUAP
Lokomotiv Moscow,Lokomotiv Moscow
Lorca Deportiva CF,Lorca
LOSC Lille,Lille
Luton Town,Luton
Lyngby BK,Lyngby BK
Malaga CF,Malaga
Malmo FF,Malmo FF
Manchester City,Man City
Manchester United,Man United
Mansfield Town,Mansfield
Medicana Sivasspor,Sivasspor
Melbourne City,Melbourne City
Melbourne Victory,Melbourne Victory
Middlesbrough,Middlesbrough
Milan,Milan
Millwall,Millwall
Milton Keynes Dons,Milton Keynes Dons
Minnesota Thunder,Minnesota Thunder
Molde FK,Molde FK
Monarcas Morelia,Monarcas Morelia
Monterrey,Monterrey
Montpellier Herault SC,Montpellier
Montreal Impact,Montreal Impact
Morecambe,Morecambe
Moreirense FC,Moreirense
Motherwell,Motherwell
MSV Duisburg,Duisburg
NAC Breda,NAC Breda
Napoli,Napoli
Necaxa,Necaxa
New England Revolution,New England Revolution
New York City Football Club,New York City Football Club
New York Red Bulls,New York Red Bulls
Newcastle Jets,Newcastle Jets
Newcastle United,Newcastle
Newell's Old Boys,Newell's Old Boys
Newport County,Newport County
Nimes Olympique,Nimes
Northampton Town,Northampton
Norwich City,Norwich
Nottingham Forest,Nott'm Forest
Notts County,Notts County
Novara,Novara
Odds BK,Odds BK
Odense Boldklub,Odense Boldklub
OGC Nice,Nice
Ohod Club,Ohod Club
Oldham Athletic,Oldham
Olympiakos CFP,Olympiakos CFP
Olympique de Marseille,Marseille
Olympique Lyonnais,Lyon
Omiya Ardija,Omiya Ardija
Orebro SK,Orebro SK
Orlando City Soccer Club,Orlando City Soccer Club
Orlando Pirates,Orlando Pirates
Osmanlispor,Osmanlispor
Ostersunds FK,Ostersunds FK
Oxford United,Oxford
Pachuca,Pachuca
Palermo,Palermo
Panathinaikos FC,Panathinaikos FC
PAOK Thessaloniki,PAOK Thessaloniki
Paris FC,Paris FC
Paris Saint-Germain,Paris SG
Parma,Parma
Partick Thistle F.C.,Partick
Patriotas Boyaca FC,Patriotas Boyaca FC
PEC Zwolle,Zwolle
Perth Glory,Perth Glory
Perugia,Perugia
Pescara,Pescara
Peterborough United,Peterboro
Philadelphia Union,Philadelphia Union
Piast Gliwice,Piast Gliwice
Plymouth Argyle,Plymouth
Pogon Szczecin,Pogon Szczecin
Pohang Steelers,Pohang Steelers
Port Vale,Port Vale
Portimonense SC,Portimonense
Portland Timbers,Portland Timbers
Portsmouth,Portsmouth
Preston North End,Preston
PSV,PSV Eindhoven
Puebla,Puebla
Queens Park Rangers,QPR
Queretaro,Queretaro
Racing Club de Avellaneda,Racing Club de Avellaneda
Randers FC,Randers FC
Rangers,Rangers
Rayo Vallecano,Vallecano
RB Leipzig,RB Leipzig
RC Celta de Vigo,Celta
RC Deportivo de La Coruoa,La Coruna
RC Lens,Lens
RC Strasbourg,Strasbourg
RCD Espanyol,Espanol
Reading,Reading
Real Betis Balompie,Betis
Real Madrid CF,Real Madrid
Real Oviedo,Oviedo
Real Salt Lake,Real Salt Lake
Real Sociedad,Sociedad
Real Sporting de Gijon,Sp Gijon
Real Valladolid,Valladolid
Real Zaragoza,Zaragoza
Rio Ave FC,Rio Ave
River Plate,River Plate
Rochdale,Rochdale
Roda JC Kerkrade,Roda
Roma,Roma
Rosario Central,Rosario Central
Rosenborg BK,Rosenborg BK
Ross County FC,Ross County
Rot-WeiS Erfurt,Rot-WeiS Erfurt
Rotherham United,Rotherham
Royal Antwerp FC,Antwerp
Royal Excel Mouscron,Mouscron
RSC Anderlecht,Anderlecht
Rubin Kazan,Rubin Kazan
Sagan Tosu,Sagan Tosu
Salernitana,Salernitana
Sampdoria,Sampdoria
San Jose Earthquakes,San Jose Earthquakes
San Lorenzo de Almagro,San Lorenzo de Almagro
San Luis de Quillota,San Luis de Quillota
San Martin de San Juan,San Martin de San Juan
Sandecja Nowy Sacz,Sandecja Nowy Sacz
Sandefjord Fotball,Sandefjord Fotball
Sanfrecce Hiroshima,Sanfrecce Hiroshima
Sangju Sangmu FC,Sangju Sangmu FC
Santiago Wanderers,Santiago Wanderers
Santos Futebol Clube,Santos Futebol Clube
Santos Laguna,Santos Laguna
Sao Paulo Futebol Clube,Sao Paulo Futebol Clube
Sarpsborg 08 FF,Sarpsborg 08 FF
Sassuolo,Sassuolo
SC Braga,Sp Braga
SC Fortuna Koln,SC Fortuna Koln
SC Freiburg,Freiburg
SC Heerenveen,Heerenveen
SC Paderborn 07,SC Paderborn 08
SC PreuSen Munster,SC PreuSen Munster
SCR Altach,SCR Altach
Scunthorpe United,Scunthorpe
SD Eibar,Eibar
SD Huesca,Huesca
Seattle Sounders FC,Seattle Sounders FC
Sevilla Atletico,Sevilla B
Sevilla FC,Sevilla
SG Dynamo Dresden,Dresden
SG Sonnenhof GroSaspach,SG Sonnenhof GroSaspach
Shakhtar Donetsk,Shakhtar Donetsk
Shamrock Rovers,Shamrock Rovers
Sheffield United,Sheffield United
Sheffield Wednesday,Sheffield Weds
Shimizu S-Pulse,Shimizu S-Pulse
Shrewsbury,Shrewsbury
Silkeborg IF,Silkeborg IF
Sint-Truidense VV,St Truiden
SK Brann,SK Brann
SK Rapid Wien,SK Rapid Wien
SK Sturm Graz,SK Sturm Graz
SKN St. Polten,SKN St. Polten
SL Benfica,Benfica
Slask Wrociaw,Slask Wrociaw
Sligo Rovers,Sligo Rovers
SM Caen,Caen
Sociedade Esportiva Palmeiras,Sociedade Esportiva Palmeiras
Sogndal,Sogndal
SonderjyskE,SonderjyskE
Southampton,Southampton
Southend United,Southend
Sparta Praha,Sparta Praha
Sparta Rotterdam,Sparta Rotterdam
Spartak Moscow,Spartak Moscow
Sport Club do Recife,Sport Club do Recife
Sportfreunde Lotte,Sportfreunde Lotte
Sporting Charleroi,Charleroi
Sporting CP,Sp Lisbon
Sporting Kansas City,Sporting Kansas City
Sporting Lokeren,Lokeren
SpVgg Greuther Furth,Greuther Furth
SpVgg Unterhaching,SpVgg Unterhaching
St. Johnstone FC,St Johnstone
St. Patrick's Athletic,St. Patrick's Athletic
Stabak Fotball,Stabak Fotball
Stade Brestois 29,Brest
Stade de Reims,Reims
Stade Rennais FC,Rennes
Standard de Licge,Standard
Stevenage,Stevenage
Stoke City,Stoke
Stromsgodset IF,Stromsgodset IF
Sunderland,Sunderland
Suwon Samsung Bluewings,Suwon Samsung Bluewings
SV Darmstadt 98,Darmstadt
SV Mattersburg,SV Mattersburg
SV Meppen,SV Meppen
SV Sandhausen,Sandhausen
SV Wehen Wiesbaden,SV Wehen Wiesbaden
SV Werder Bremen,Werder Bremen
SV Zulte-Waregem,Waregem
Swansea City,Swansea
Swindon Town,Swindon
Sydney FC,Sydney FC
Talleres de Cordoba,Talleres de Cordoba
Temperley,Temperley
Terek Grozny,Terek Grozny
Termalica Bruk-Bet Nieciecza,Termalica Bruk-Bet Nieciecza
Ternana,Ternana
Tiburones Rojos de Veracruz,Tiburones Rojos de Veracruz
Tigres FC,Tigres FC
Tigres U.A.N.L.,Tigres U.A.N.L.
Tondela,Tondela
Torino,Torino
Toronto FC,Toronto FC
Tottenham Hotspur,Tottenham
Toulouse FC,Toulouse
Tours FC,Tours
Trabzonspor,Trabzonspor
Tromso IL,Tromso IL
TSG 1899 Hoffenheim,Hoffenheim
U.N.A.M.,U.N.A.M.
UD Almeria,Almeria
UD Las Palmas,Las Palmas
Udinese,Udinese
Ulsan Hyundai Horang-i,Ulsan Hyundai Horang-i
Union de Santa Fe,Union de Santa Fe
Union Espaoola,Union Espaoola
Universidad Catolica,Universidad Catolica
Universidad de Chile,Universidad de Chile
Urawa Red Diamonds,Urawa Red Diamonds
US Orleans Loiret Football,Orleans
US Quevilly-Rouen,Quevilly Rouen
Valencia CF,Valencia
Valenciennes FC,Valenciennes
Valerenga Fotball,Valerenga Fotball
Vancouver Whitecaps FC,Vancouver Whitecaps FC
Vegalta Sendai,Vegalta Sendai
Velez Sarsfield,Velez Sarsfield
Ventforet Kofu,Ventforet Kofu
Vercelli,Pro Vercelli
VfB Stuttgart,Stuttgart
VfL Bochum,Bochum
VfL Osnabruck,VfL Osnabruck
VfL Wolfsburg,Wolfsburg
VfR Aalen,VfR Aalen
Viking FK,Viking FK
Villarreal CF,Villarreal
Virtus Entella,Virtus Entella
Vissel Kobe,Vissel Kobe
Vitesse,Vitesse
Vitoria ,Vitoria 
Vitoria Guimaraes,Guimaraes
Vitoria Setubal,Setubal
VVV-Venlo,VVV Venlo
Waasland-Beveren,Waasland-Beveren
Walsall,Walsall
Watford,Watford
Wellington Phoenix,Wellington Phoenix
Werder Bremen II,Werder Bremen II
West Bromwich Albion,West Brom
West Ham United,West Ham
Western Sydney Wanderers,Western Sydney Wanderers
Wigan Athletic,Wigan
Willem II,Willem II
Wisia Krakow,Wisia Krakow
Wisia Piock,Wisia Piock
Wolfsberger AC,Wolfsberger AC
Wolverhampton Wanderers,Wolves
Wurzburger FV,Wurzburger FV
Wycombe Wanderers,Wycombe
Yeovil Town,Yeovil
Yokohama F. Marinos,Yokohama F. Marinos
Zagiebie Lubin,Zagiebie Lubin
Zenit St. Petersburg,Zenit St. Petersburg
