Club,New
Internacional,Internacional
Ipswich Town,Ipswich
Itagui Leones FC,Itagui Leones FC
Jagiellonia Biaiystok,Jagiellonia Biaiystok
Jaguares de Cordoba,Jaguares de Cordoba
Jeju United FC,Jeju United FC
Jeonbuk Hyundai Motors,Jeonbuk Hyundai Motors
Jeonnam Dragons,Jeonnam Dragons
Jiangsu Suning FC,Jiangsu Suning FC
Jubilo Iwata,Jubilo Iwata
Junior FC,Junior FC
Juventus,Juventus
KAA Gent,Gent
Kaizer Chiefs,Kaizer Chiefs
Kalmar FF,Kalmar FF
Karlsruher SC,Karlsruher SC
KAS Eupen,Eupen
Kashima Antlers,Kashima Antlers
Kashiwa Reysol,Kashiwa Reysol
Kasimpasa SK,Kasimpasa
Kawasaki Frontale,Kawasaki Frontale
Kayserispor,Kayserispor
KFC Uerdingen 05,KFC Uerdingen 06
Kilmarnock,Kilmarnock
Korona Kielce,Korona Kielce
KRC Genk,Genk
Kristiansund BK,Kristiansund BK
KSV Cercle Brugge,Cercle Brugge
KV Kortrijk,Kortrijk
KV Oostende,Oostende
La Berrichonne de Chateauroux,Chateauroux
La Equidad,La Equidad
LA Galaxy,LA Galaxy
LASK Linz,LASK Linz
Lazio,Lazio
Le Havre AC,Le Havre
Lecce,Lecce
Lech Poznan,Lech Poznan
Lechia Gdansk,Lechia Gdansk
Leeds United,Leeds
Legia Warszawa,Legia Warszawa
Leicester City,Leicester
Levante UD,Levante
Lillestrom SK,Lillestrom SK
Limerick FC,Limerick FC
Lincoln City,Lincoln
Liverpool,Liverpool
Livingston FC,Livingston
Livorno,Livorno
Lobos BUAP,Lobos BUAP
Lokomotiv Moscow,Lokomotiv Moscow
Los Angeles FC,Los Angeles FC
LOSC Lille,Lille
Luton Town,Luton
Macclesfield Town,Macclesfield
Malaga CF,Malaga
Malmo FF,Malmo FF
Manchester City,Man City
Manchester United,Man United
Mansfield Town,Mansfield
Medipol Basaksehir FK,Buyuksehyr
Melbourne City FC,Melbourne City FC
Melbourne Victory,Melbourne Victory
Middlesbrough,Middlesbrough
Miedy Legnica,Miedy Legnica
Milan,Milan
Millonarios FC,Millonarios FC
Millwall,Millwall
Milton Keynes Dons,Milton Keynes Dons
Minnesota United FC,Minnesota United FC
MKE Ankaragucu,Ankaragucu
Molde FK,Molde FK
Monarcas Morelia,Monarcas Morelia
Monterrey,Monterrey
Montpellier HSC,Montpellier
Montreal Impact,Montreal Impact
Morecambe,Morecambe
Moreirense FC,Moreirense
Motherwell,Motherwell
MSV Duisburg,Duisburg
NAC Breda,NAC Breda
Nagoya Grampus,Nagoya Grampus
Napoli,Napoli
Neuchatel Xamax,Neuchatel Xamax
New England Revolution,New England Revolution
New York City FC,New York City FC
New York Red Bulls,New York Red Bulls
Newcastle Jets,Newcastle Jets
Newcastle United,Newcastle
Newell's Old Boys,Newell's Old Boys
Newport County,Newport County
Nimes Olympique,Nimes
Northampton Town,Northampton
Norwich City,Norwich
Nottingham Forest,Nott'm Forest
Notts County,Notts County
Odds BK,Odds BK
Odense Boldklub,Odense Boldklub
OGC Nice,Nice
Ohod Club,Ohod Club
Oldham Athletic,Oldham
Olympiacos CFP,Olympiacos CFP
Olympique de Marseille,Marseille
Olympique Lyonnais,Lyon
Once Caldas,Once Caldas
Orebro SK,Orebro SK
Orlando City SC,Orlando City SC
Orlando Pirates,Orlando Pirates
Os Belenenses,Belenenses
Ostersunds FK,Ostersunds FK
Oxford United,Oxford
Pachuca,Pachuca
Padova,Padova
Palermo,Palermo
Panathinaikos FC,Panathinaikos FC
PAOK,PAOK
Parana,Parana
Paris FC,Paris FC
Paris Saint-Germain,Paris SG
Parma,Parma
Patriotas Boyaca FC,Patriotas Boyaca FC
Patronato,Patronato
PEC Zwolle,Zwolle
Perth Glory,Perth Glory
Perugia,Perugia
Pescara,Pescara
Peterborough United,Peterboro
PFC CSKA Moscow,PFC CSKA Moscow
Philadelphia Union,Philadelphia Union
Piast Gliwice,Piast Gliwice
Plymouth Argyle,Plymouth
Pogon Szczecin,Pogon Szczecin
Pohang Steelers,Pohang Steelers
Port Vale,Port Vale
Portimonense SC,Portimonense
Portland Timbers,Portland Timbers
Portsmouth,Portsmouth
Preston North End,Preston
PSV,PSV Eindhoven
Puebla FC,Puebla FC
Queens Park Rangers,QPR
Queretaro,Queretaro
Racing Club,Racing Club
Racing Club de Lens,Lens
Randers FC,Randers FC
Rangers FC,Rangers
Ranheim Fotball,Ranheim Fotball
Rayo Vallecano,Vallecano
RB Leipzig,RB Leipzig
RC Celta,Celta
RC Strasbourg Alsace,Strasbourg
RCD Espanyol,Espanol
RCD Mallorca,Mallorca
Reading,Reading
Real Betis,Betis
Real Madrid,Real Madrid
Real Oviedo,Oviedo
Real Salt Lake,Real Salt Lake
Real Sociedad,Sociedad
Real Sporting de Gijon,Sp Gijon
Real Valladolid CF,Valladolid
Real Zaragoza,Zaragoza
Red Star FC,Red Star
Rio Ave FC,Rio Ave
Rionegro Aguilas,Rionegro Aguilas
River Plate,River Plate
Rochdale,Rochdale
Roma,Roma
Rosario Central,Rosario Central
Rosenborg BK,Rosenborg BK
Rotherham United,Rotherham
Royal Antwerp FC,Antwerp
Royal Excel Mouscron,Mouscron
RSC Anderlecht,Anderlecht
Sagan Tosu,Sagan Tosu
Sampdoria,Sampdoria
San Jose Earthquakes,San Jose Earthquakes
San Lorenzo de Almagro,San Lorenzo de Almagro
San Luis de Quillota,San Luis de Quillota
San Martin de San Juan,San Martin de San Juan
San Martin de Tucuman,San Martin de Tucuman
Sandefjord Fotball,Sandefjord Fotball
Sanfrecce Hiroshima,Sanfrecce Hiroshima
Sangju Sangmu FC,Sangju Sangmu FC
Santa Clara,Santa Clara
Santos,Santos
Santos Laguna,Santos Laguna
Sarpsborg 08 FF,Sarpsborg 08 FF
Sassuolo,Sassuolo
SC Braga,Sp Braga
SC Fortuna Koln,SC Fortuna Koln
SC Freiburg,Freiburg
SC Heerenveen,Heerenveen
SC Paderborn 07,Paderborn
SC PreuSen Munster,SC PreuSen Munster
SCR Altach,SCR Altach
Scunthorpe United,Scunthorpe
SD Eibar,Eibar
SD Huesca,Huesca
Seattle Sounders FC,Seattle Sounders FC
Sevilla FC,Sevilla
SG Dynamo Dresden,Dresden
SG Sonnenhof GroSaspach,SG Sonnenhof GroSaspach
Shakhtar Donetsk,Shakhtar Donetsk
Shamrock Rovers,Shamrock Rovers
Shandong Luneng TaiShan FC,Shandong Luneng TaiShan FC
Shanghai Greenland Shenhua FC,Shanghai Greenland Shenhua FC
Shanghai SIPG FC,Shanghai SIPG FC
Sheffield United,Sheffield United
Sheffield Wednesday,Sheffield Weds
Shimizu S-Pulse,Shimizu S-Pulse
Shonan Bellmare,Shonan Bellmare
Shrewsbury,Shrewsbury
Sint-Truidense VV,St Truiden
Sivasspor,Sivasspor
SK Brann,SK Brann
SK Rapid Wien,SK Rapid Wien
SK Slavia Praha,SK Slavia Praha
SK Sturm Graz,SK Sturm Graz
SKN St. Polten,SKN St. Polten
SL Benfica,Benfica
Slask Wrociaw,Slask Wrociaw
Sligo Rovers,Sligo Rovers
SonderjyskE,SonderjyskE
Southampton,Southampton
Southend United,Southend
SPAL,Spal
Sparta Praha,Sparta Praha
Spartak Moscow,Spartak Moscow
Spezia,Spezia
Sport Club do Recife,Sport Club do Recife
Sporting CP,Sp Lisbon
Sporting de Charleroi,Charleroi
Sporting Kansas City,Sporting Kansas City
Sporting Lokeren,Lokeren
SpVgg Greuther Furth,Greuther Furth
SpVgg Unterhaching,SpVgg Unterhaching
St. Johnstone FC,St Johnstone
St. Mirren,St Mirren
St. Patrick's Athletic,St. Patrick's Athletic
Stabak Fotball,Stabak Fotball
Stade Brestois 29,Brest
Stade de Reims,Reims
Stade Malherbe Caen,Caen
Stade Rennais FC,Rennes
Standard de Licge,Standard
Stevenage,Stevenage
Stoke City,Stoke
Stromsgodset IF,Stromsgodset IF
Sunderland,Sunderland
Suwon Samsung Bluewings,Suwon Samsung Bluewings
SV Darmstadt 98,Darmstadt
SV Mattersburg,SV Mattersburg
SV Meppen,SV Meppen
SV Sandhausen,Sandhausen
SV Wehen Wiesbaden,SV Wehen Wiesbaden
SV Werder Bremen,Werder Bremen
SV Zulte-Waregem,Waregem
Swansea City,Swansea
Swindon Town,Swindon
Sydney FC,Sydney FC
Tianjin Quanjian FC,Tianjin Quanjian FC
Tianjin TEDA FC,Tianjin TEDA FC
Tiburones Rojos de Veracruz,Tiburones Rojos de Veracruz
Tigres U.A.N.L.,Tigres U.A.N.L.
Torino,Torino
Toronto FC,Toronto FC
Tottenham Hotspur,Tottenham
Toulouse Football Club,Toulouse
Trabzonspor,Trabzonspor
Tranmere Rovers,Tranmere
Trelleborgs FF,Trelleborgs FF
Tromso IL,Tromso IL
TSG 1899 Hoffenheim,Hoffenheim
TSV 1860 Munchen,TSV 1860 Munchen
TSV Hartberg,TSV Hartberg
U.N.A.M.,U.N.A.M.
UD Almeria,Almeria
UD Las Palmas,Las Palmas
Udinese,Udinese
Ulsan Hyundai FC,Ulsan Hyundai FC
Union de Santa Fe,Union de Santa Fe
Union Espaoola,Union Espaoola
Union La Calera,Union La Calera
Universidad Catolica,Universidad Catolica
Universidad de Chile,Universidad de Chile
Urawa Red Diamonds,Urawa Red Diamonds
US Cremonese,Cremonese
US Orleans Loiret Football,Orleans
US Salernitana 1919,Salernitana
V-Varen Nagasaki,V-Varen Nagasaki
Valencia CF,Valencia
Valenciennes FC,Valenciennes
Valerenga Fotball,Valerenga Fotball
Vancouver Whitecaps FC,Vancouver Whitecaps FC
Vegalta Sendai,Vegalta Sendai
Vejle Boldklub,Vejle Boldklub
Velez Sarsfield,Velez Sarsfield
Vendsyssel FF,Vendsyssel FF
Venezia FC,Venezia
VfB Stuttgart,Stuttgart
VfL Bochum 1848,Bochum
VfL Osnabruck,VfL Osnabruck
VfL Sportfreunde Lotte,VfL Sportfreunde Lotte
VfL Wolfsburg,Wolfsburg
VfR Aalen,VfR Aalen
Viktoria Plzen,Viktoria Plzen
Villarreal CF,Villarreal
Vissel Kobe,Vissel Kobe
Vitesse,Vitesse
Vitoria,Vitoria
Vitoria de Setubal,Setubal
Vitoria Guimaraes,Guimaraes
VVV-Venlo,VVV Venlo
Waasland-Beveren,Waasland-Beveren
Walsall,Walsall
Waterford FC,Waterford FC
Watford,Watford
Wellington Phoenix,Wellington Phoenix
West Bromwich Albion,West Brom
West Ham United,West Ham
Western Sydney Wanderers,Western Sydney Wanderers
Wigan Athletic,Wigan
Willem II,Willem II
Wisia Krakow,Wisia Krakow
Wisia Piock,Wisia Piock
Wolfsberger AC,Wolfsberger AC
Wolverhampton Wanderers,Wolves
Wycombe Wanderers,Wycombe
Yeni Malatyaspor,Yeni Malatyaspor
Yeovil Town,Yeovil
Yokohama F. Marinos,Yokohama F. Marinos
Zagiebie Lubin,Zagiebie Lubin
Zagiebie Sosnowiec,Zagiebie Sosnowiec
